FinalAudit,site,boxNumber,nestAttempt,Species,currentNestStatus,dateLastChecked,comments,firstEggLayDate,lastEggLayDate,lastEggLayDateCertainty1/0,eggWeight,numberEggsWeighed,weighDate,accidentalBreakage,finalClutchSize,IncubationConfirmed,incubationStartDate,checkHatchingDate,actualHatchDate,hatchCertainty1/0,numberEggsNotViable,faecalSample_Day-8,faecalSample_Day-15,BroodSize.D8,BroodSize.D15,expectedAdultTrappingDate,actualMaleTrappingDate,actualFemaleTrappingDate,trappingStatusTU/TN,numberTrapAttemptsM,maleID,maleColourRing,pitIDM,numberTrapAttemptsF,femaleID,femaleColourRing,pitIDF,expectedPullusRingingDate,actualPullusRingingDate,totalPullusRinged,numberPullusNotRinged,numberFledged,numberDeadPreRinged,preRingedDeadID,numberDeadPostRinged,postRingedDeadID,dateNestCleaned,site+boxNumber,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,
,KB,61,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,KB61,N0,,,,,,N0,,,,,,,N0,,,,,,,,N0,,,,,N0,,,,,,,N0,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB,108,,,,#REF!,Verify new nest,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,157,KB108,N3,,,,,,N4,,,,,,,N4,,,,,,,,Cleared out old nest,,,,,N0,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB,121,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,KB121,N0,,,,,,N0,,,,,,,N0,,,,,,,,N0,,,,,N0,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB,131,,,,#REF!,No waypoint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KB131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB,132,,,,#REF!,,56,,,2,2,57,,,1,63,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,KB132,N2,,,,,,N5,,,,,,,EN2/EW2(2)/NP/CO,,,,,,,,EN7/NP/WA,,,,,,,,,,,,,,,,,,,,,,YN2+/BLUTI?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB,137,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,KB137,N0,,,,,,N0,,,,,,,N0,,,,,,,,N0,,,,,N0,,,,,,,N0,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB,151,1,GRETI,,#REF!,,63,68,0,5.2,3,65,0,6,1,76,88,88,1,0,96,103,4,4,99,99,,,,PF91067,,110176776,,,,,102,96,4,1,4,1,E,,,157,KB151,N0,,,,,,NC,,,,,,,N2,,,,,,,,EN3/EW5.2(3)/NP/CO,,,,EN6/NP/CO,EN6/NP/CO,EN6/NP/CO,EN6/NP/CO,EN6/NP/CO,FP/GRETI,EN6/NP/CO,EN6/NP/WA/GRETI,,,,,,,,gave small pot,MWY,,MWY,YN5?/FP/control,control,FP/YN5?+CONTROL,YN5/control,CONTROL,YN4/DY1/control,control,control,control+FS,control,control,control+FS M + VC1134,control,control,control+retrieved VC1134(SD-B4) but batteries died so replaced,control+FS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB,158,1,GRETI,,#REF!,Verify new nest,56,58,0,5.7,3,62,0,3,1,63,75,75,1,1,83,90,1,1,86,,87,,,,,,,TX52596,,0700EE0397,89,83,1,1,1,1,B,,,157,KB158,,,,,,,N3,,,,,,,EN2(?)/TS/NDX/GRETI,,,,,EN3/NP/CO/EW5.7(3),,,EN?/FP/GRETI,,,,,FP/GRETI,,Gave Mws,MWSnot taken,MW taken,YN2/EN1/FP/GRETI,YN2/EN1/PROBIOTIC,YN1/EN1/FP 1 chick MIA PROBIOTIC,Probiotic,Probiotic,probiotic,probiotic,probiotic,probiotic + FS,,probiotic,,probiotic + Fe trapped,probiotic,probiotic+vc removed at 1:30,FS1/1+PROBIOTIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB,905,1,BLUTI,,#REF!,Cleaned out old nest 13/4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157,KB905,N0,,,,,,N0,,,,,,,N0,,,,,,,,N0,,,,,N3,,,,,,,FP/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KB,908,1,GRETI,,#REF!,,54,57,0,7.9,4,57,0,6,1,58,70,74,1,0,82,89,6,6,85,,85,,,,,,,S873503,ND8,01101760F6,88,82,6,0,0,0,,,,157,KB908,N3,,,,,,N4,,,,,,,EN6/EW7.9(4)/NP/CO,,,,,EN6/NP/WA,,,EN6/WA/NP,,,,,EN6/FP/FA. Mws given,EN6/FP/FA. MWs not taken,EN6/FP/WA,EN6/FP/FA. MWs not taken,YN6 control+60MWs,,CONTROL,YN6 control,YN6 control,,control,control,control + FS,control,,YN6 + control,control VC1134(SD-K2?),control,control,FS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
