FinalAudit,site,boxNumber,nestAttempt,Species,currentNestStatus,dateLastChecked,comments,firstEggLayDate,lastEggLayDate,lastEggLayDateCertainty1/0,eggWeight,numberEggsWeighed,weighDate,accidentalBreakage,finalClutchSize,IncubationConfirmed,incubationStartDate,checkHatchingDate,actualHatchDate,hatchCertainty1/0,numberEggsNotViable,faecalSample_Day-8,faecalSample_Day-15,BroodSize.D8,BroodSize.D15,expectedAdultTrappingDate,actualMaleTrappingDate,actualFemaleTrappingDate,trappingStatusTU/TN,numberTrapAttemptsM,maleID,maleColourRing,pitIDM,numberTrapAttemptsF,femaleID,femaleColourRing,pitIDF,expectedPullusRingingDate,actualPullusRingingDate,totalPullusRinged,numberPullusNotRinged,numberFledged,numberDeadPreRinged,preRingedDeadID,numberDeadPostRinged,postRingedDeadID,dateNestCleaned,site+boxNumber,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,
,CB,28,,,,#REF!,Cant find.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CB28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,29,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,CB29,,,NC,,,,,,NC,,,,,,,NC,,,,,,NC,,,,NC,,,,,N0,,,,,,,,,N0,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,30,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,CB30,,,N0,,,,,,N2,,,,,,,N5,,,,,,N5,,,,N4,,,,,N4,,,,,,,,,N5,,,,,,,,,,,,,,,N5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,31,1,BLUTI,,#REF!,,,,,3.55,3,21/4/21,,,1,54,66,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,158,CB31,,,N3,,,,,,EN3/EW3.55(3)/CO/NP,,,,,,,EN5/WA/NP,,,,,,EN5/WA/NP,,,,,,,,,YN4/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,39,1,GRETI,,#REF!,,68,69,,3.7,2,65,,2,1,62,74,80,1,0,88,95,2,1,91,,92,,,,,,,VZ80761,YB8,,94,88,1,1,0,1,A,1,PF91005,158,CB39,,,N3,,,,,,N5,,,,,,,N5,,,,,,EN2/3.7(2)/FA/GRETI,,,,EN2/NP/LW,,EN2/FP/SB20+/LW/ND/GRETI,EN2/FP/FA/WA/GRETI,,,,,,,,YN2/probiotic small pot,YN2,probiotic,Probiotic MWY,probiotic,probiotic,probiotic,probiotic,,probiotic YN2/FL,probiotic,probiotic,YN1/DY1(PF91005)/probiotic/FS female/VC1134,probiotic,DY1(unr)+retrieved VC1134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,41,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CB41,,,N2,,,,,,N3,,,,,,,N4,,,,,,N3,,,,N0,,,,,N0,,,,,,,,,N0,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,44,,,,#REF!,Closer to waypt. O24 than CB44.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,CB44,,,N2,,,,,,N5,,,,,,,N5,,,,,,N5,,,,N5,,,,,N5,,,,,,,,,N5,,,,,,,,,,,,,,,N5-COBWEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,45,1,GRETI,,#REF!,,,,,5.2,3,69,,,1,78,90,,,3,,,,,,,,,,,,,,,,,,,,,0,,,,,158,CB45,,,N2,,,,,,N4,,,,,,,N5,,,,,,N5,,,,EN3/EW5.2(3)/NP/CO,,,,,EN3/TS/GRETI,EN3/FP/FL/WA,EN3/NP/CO,EN3/NP/CO,EN3/TS/GRETI,EN3/TS/FL/GRETI/WA,,EN3/NP/CO,,,,,gave small pot,,,MWX,EN3/NP/CO/MWX,,,EN3/NP/CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,48,,,,#REF!,,,,,4,3,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,CB48,,,N0,,,,,,N0,,,,,,,NC,,,,,,NC,,,,N2,,,,,EN3/EW4(3)/NP/CO,,,,,,,,,EN7/EW5(4)/WA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,49,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,CB49,,,N0,,,,,,N0,,,,,,,N0,,,,,,N0,,,,N0,,,,,N0,,,,,,,,,N2,,,,,,,,,,,,,,,N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,50,1,BLUTI,,#REF!,,,,,4.7,4,28/4/21,,8,1,64,76,78,1,,,,,,88,,,,,,,,,,,,92,,,,,,,,,158,CB50,,,N4,,,,,,N5,,,,,,,EN4/EW4.7(4)/CO/NP,,,EN7/NP/CO,,,EN8/NP/WA,,,,,,MWs given,Mws not taken,"MWs not taken, moved to face",MWs not taken,MWs not taken,MWs not taken,,YN5+/EN1?/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,52,1,BLUTI,,#REF!,,59,,,1.2,1,28/4/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,CB52,,,N2,,,,,,N5,,,,,,,EN1/EW1.2(1)/CO/NP,,,,,,FP/BLUTI,,,,EN5/FA/SB15/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,53,1,GRETI,,#REF!,,,,,6.8,4,83,,5,1,80,92,,,5,,,,,,,,,,,,,,,,,,,,,0,,,,,158,CB53,,,NC,,,,,,NC,,,,,,,N3,,,,,,N4,,,,N4,,,,,N4,,,,,,,,,EN5/6.8(4)WA/GRETI,,,,,gave small pot,MWX,MWX,NP/CO/MWX,EN5/NP/CO/MWX,NP/CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,54,1,BLUTI,,#REF!,,,,,4.6,4,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,CB54,,,N3,,,,,,N5,,,,,,,N5,,,,,,EN6/EW4.6(4)/NP/CO,,,,FP/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,56,1,GRETI,,#REF!,,65,69,1,7.2,4,69,0,6,1,70,82,84,1,0,92,99,4,4,95,95,95,,,PF91048,,0110175BF6,,PF91049,,0700EDEF67,98,91,4,2,3,2,"E, F",1,PF91032,158,CB56,,,N2,,,,,,N2,,,,,,,N2,,,,,,EN1/EW1.8(1)/NP/CO,,,,EN5/NP/EW7.2(4)/LW,,EN5/FP/SB20+LW/GRETI,,EN5/NP/WA,,,,,"gave MWs, small pot",,MWY,MWY,EN5/FP/GRETI/MWY,EN5/TS/MWY,YN4/EN1/FP probiotic,YN5/FP/GRETI probiotic,YN6/MWX/probiotic,MWX(some MWs left over)/probiotic,,FP/YN3+/MWX gave some live plain MWs to encourage feeding,FP/MWY/PROBIOTIC,YN4/DY1/FS/PROBIOTIC,probiotic,probiotic,probiotic,probiotic+FS-adults+VC1102,probiotic,probiotic+retrieved VC1102,PROBIOTIC,FS D15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,59,,,,#REF!,Young died,,,,4.4,3,69,,3,1,74,86,85,1,1,,,,,,,,,,,,,,,,,99,,,,0,2,,,,158,CB59,,,N0,,,,,,NC,,,,,,,N2,,,,,,EN1/EW1.6(1)/NP/CO,,,,EN3/EW4.8(3)/NP/CO,,EN3/NP/CO,,,EN3/NP/WA,,,,,,,,,EN3/NP/WA,,YN2/EN1 gave MWs on nest,"MWs on nest gone, gave small pot control, species unclear",,DY2/EN1/MWX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,60,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,CB60,,,NC,,,,,,NC,,,,,,,NC,,,,,,NC,,,,N0,,,,,NC,,,,,,,,,NC,,,,,,,,,,,,,,,N1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,62,1,GRETI,,#REF!,,55,60,0,6.7,4,28/4/21,0,6,1,61,73,74,,0,82,89,6,6,85,90,90,,,PF91019,,,,PF91022,,,88,88,6,0,6,0,,,,158,CB62,,,N0,,,,,,N4,,,,,,,EN5/EW6.7(4)/CO/NP,,,EN6/TS/NDX/FA/WA/GRETI,,,FP/GRETI,,,,,,MWs given,MWs not taken,"EN6/NP/WA. MWs not taken, moved to face.",YN5/EN1/FP/FA 0.5g Probiotic+4ml+30 MWs,YN6,Gave probiotic,probiotic,probiotic,Probiotic,probiotic,probiotic,YN6 + FS probiotic,probiotic,probiotic,YN6 probiotic,probiotic,,YN6/control,FS+probiotic,FS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CB,133,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CB133,,,N0,,,,,,N0,,,,,,,N0,,,,,,N0,,,,N0,,,,,N0,,,,,,,,,N0,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,1,1,GRETI,,#REF!,Removed old nest 15/4.,80,85,0,4,2,81,,5,0,93,105,105,1,1,113,120,0,0,116,,,,,,,,,,,,119,,0,4,0,4,"A, B, C, D",,,158,DW1,,,N0,,,,,,N0,,,,,,,N1,,,,,,N2,,,,,N3,,,N5,,,,,,,,EN2/EW4(2)/NP/CO,,EN4/NP/CO,,FP/GRETI,EN5/NP/CO,,,NP/CO,,,NP/CO,,,,,,,,,EN?/NP/WA,,FP/GRETI/gave small pot,MWY,YN1/EN4/NP/probiotic,YN2/EN3/NP/PROBIOTIC,YN2/EN2/NP/PROBIOTIC,FP/probiotic/some MWs remain,EN1/CO/MWY,EN1/CO/MWY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,3,1,BLUTI,,#REF!,Removed old nest 15/4.,,,,4.4,3,65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW3,,,N0,,,,,,N2,,,,,,,N5,,,,,,EN5/EB1/EW4.4(3)/NP/CO,,,,FP/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,4,1,BLUTI,,#REF!,,,,,4,4,28/4/21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW4,,,N2,,,,,,N5,,,,,,,EN6/EW4(4)/CO/NP,,,FP/BLUTI,,,FP/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,7,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW7,,,N0,,,,,,N0,,,,,,,N0,,,,,,N0,,,,,N0,,,N0,,,,,,,,N0,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,8,1,GRETI,,#REF!,,94,98,1,1.9,1,94,0,5,1,99,111,111,1,0,119,126,5,5,122,,122,,,,,,,PF91084,,01101762EB,125,119,5,0,5,0,,,,158,DW8,,,N2,,,,,,N2,,,,,,,N2,,,,,,N2,,,,,N2,,,N2,,,,,,,,N3,,,,,,,,,,,,,EN1/EW1.9(1)/NP/CO,,EN3/NP/CO,,EN5/NP/LW,,,,,FP/GRETI,,,,,,MWY,MWY,YN3/EN2/assigned to probiotic but didnt have dosed worms,YN5/MWY/PROBIOTIC,PROBIOTIC,MWY/PROBIOTIC,Probiotic,probiotic/YN5,probiotic,probiotic,probiotic+FS5/5,probiotic,probiotic,probiotic+FS-female,probiotic+VC1102,probiotic,probiotic,probiotic/FS/retrieved VC1102(SDB2),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,9,,,,#REF!,Abandoned? No development since trees felled i think,,,,6.9,4,62,,,1,76,88,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW9,,,N0,,,,,,N2,,,,,,,EN1/EW1.8(1)/NP/CO,,,EN4/EW6.9(4)/CO/NP,,,EN6/NP/CO,,,,EN6/NP/CO,EN6/NP/CO,,,EN6/NP/CO,,EN6/NP/CO,EN6/NP/WA,,,,,,,,gave small pot,MWX,EN6/NP/CO/MWX,,,,,,NP/CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,11,1,GRETI,,#REF!,Two females laying?,59,76,1,5.4,3,62,0,8,1,76,88,90,1,2,98,105,4,4,101,,101,,,,,,,PF91072,, 0700ED91AF,104,98,4,2,4,2,"E, F",,,158,DW11,,,N2,,,,,,N4,,,,,,,EN1/EW1.6(1)/NP/CO,,,EN3/EW5.4(3)/NP/CO,,,EN3/5.4(3)/NP/CO,,,,EN3/NP/CO,EN3/NP/CO,,,EN5/NP/CO,,EN7/NP/CO,EN8/FP/FA/WA/GRETI,,,,,,,,gave small pot,MWY,MWY,,MWY,EN8/FP/GRETI/MWY,YN4/EN4/CONTROL,control,FP/EN2/YN5/control,CONTROL,YN6/EN1/CONTROL,control,control,YN4/EN2/CONTROL,control+FS,control,control,control+FS-Fe+VC1102,control,control,control+retrievedVC1102,FS+CONTROL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,12,,,,#REF!,Removed old nest 15/4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW12,,,N0,,,,,,N0,,,,,,,N0,,,,,,NO,,,,,N0,,,N0,,,,,,,,N0,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,14,1,BLUTI,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW14,,,N3,,,,,,N4,,,,,,,N5,,,,,,EN6/FP/FA/BLUTI,,,,,,,,FP/BLUTI,,,,,,,,BLUTI/YN2+,,,,,,,,,,,,,DEAD BABIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,15,1,GRETI,,#REF!,V. exposed,63,69,0,5.3,3,65,0,7,1,71,83,85,1,0,93,100,6,5,96,96,96,,,PF91051,,0700EE06D1,,PF91052,,0700EDAD45,99,"93, 100",5,2,4,2,"E, F",1,PF91043,158,DW15,,,N0,,,,,,N2,,,,,,,N2,,,,,,EN3/EW5.3(3)/NP/CO,,,,,EN7/NP/CO,,,EN7/FP/FL/GRETI,,EN7/NP/CO,EN7/TS/NDX/GRETI,,,FA/GRETI,"EN7/FP/GRETIEN7/FP/GRETI gave MWs, small pot",MWY,,EN7/FP/GRETI/MWY,EN7/FP/MWY,YN6/EN1 probiotic,probiotic,,Probiotic,YN7/probiotic,PROBIOTIC,PROBIOTIC,probiotic,YN6/DY1/FS/PROBIOTIC,PROBIOTIC,probiotic,YN5+PROBIOTIC+FS-ADULTS+VC1167,"probiotic, confirmed feeding MWs to chicks",probiotic+retrieved VC1167(SD-19),probiotic,FS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,16,1,BLUTI,,#REF!,Removed old nest 15/4.,,,,4.6,4,73,,,1,71,83,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW16,,,N0,,,,,,N0,,,,,,,N2,,,,,,N3,,,,,EN1/1.3(1)/NP/CO,,,EN4/EW4.6(4)/CO,,,,,,FP/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,18,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW18,,,N4,,,,,,N3,,,,,,,N2,,,,,,N3,,,,,N3,,,N3,,,,,,,,N3,,,,,,,,,,,,,N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,20,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW20,,,N0,,,,,,NC,,,,,,,NC,,,,,,N0,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,NC-OLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,22,1,GRETI,,#REF!,,,,,6.7,4,28/4/21,,4,1,66,78,,,4,,,,,,,,,,,,,,,,,,,,,0,,,,,158,DW22,,,N2,,,,,,N5,,,,,,,EN4/EW6.7(4)/NP/CO,,,EN4/NP/CO,,,EN4/NP/CO,,,,EN?/TS/NDX/GRETI,,,,,,Gave MWs big pot,MWX,,EN4/CO/NP,EN4/CO/NP/MWX,EN4/NP/CO,NP/CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,23,,,,#REF!,Removed old nest 15/4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW23,,,N0,,,,,,N0,,,,,,,N2,,,,,,N2,,,,,N2,,,N2,,,,,,,,N2,,,,,,,,,,,,,N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,24,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW24,,,N0,,,,,,N0,,,,,,,N0,,,,,,N0,,,,,N0,,,N0,,,,,,,,N3,,,,,,,,,,,,,N4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,25,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW25,,,N0,,,,,,N2,,,,,,,N2,,,,,,N2,,,,,N2,,,N2,,,,,,,,N2,,,,,,,,,,,,,N3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,26,,,,#REF!,Removed old nest 15/4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW26,,,N0,,,,,,N0,,,,,,,N0,,,,,,N0,,,,,N0,,,N0,,,,,,,,N0,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,27,1,GRETI,,#REF!,,64,67,0,3.6,2,65,0,5,1,70,82,83,1,0,91,98,4,4,94,97,97,,,PF91060,,0700EDD497,,PF91059,,110176981,97,91,4,1,3,1,E,1,PF91034,158,DW27,,,N4,,,,,,N5,,,,,,,N5,,,,,,EN2/EW3.6(2)/NP/CO,,,,EN4/NP/CO,EN4/NP/WA,,,,,,,,"gave MWs , big pot",MWX,MWY,"MWY, pot moved by wind",,YN1/EN4/FL/MWY control,YN4/EN0/FL control,YN4 control,control,,control,,CONTROL,control+FS,control,control,CONTROL,control,control,control+confirmed Fe taking MWs into nest,CONTROL+FS,retrieved VC1102(SD-B1). Battery dead and time incorrect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,28,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW28,,,N2,,,,,,N2,,,,,,,N2,,,,,,N2,,,,,N2,,,N2,,,,,,,,,,,,,,,,,,,,,N2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,29,,,,#REF!,Removed old nest 15/4.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW29,,,N0,,,,,,N0,,,,,,,N0,,,,,,N0,,,,,N0,,,N0,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,31,,,,#REF!,Removed old nest 15/4.,,,,1.6,1,73,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW31,,,N0,,,,,,N0,,,,,,,N4,,,,,,N4,,,,,N5,,,EN1/EW1.6(1)/NP/CO,,,EN1/NP/CO,,EN1/NP/CO,EN1/NP/CO,,,,,,,EN1/NP/CO,,,,,,EN1/NP/CO,,,,,,,,,,EN1/NP/CO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,33,,,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW33,,,N3,,,,,,N3,,,,,,,N4,,,,,,,,,,,N0,,,N0,,,,,,,,,,,,,,,,,,,,,N0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,35,1,BLUTI,,#REF!,Removed old nest 15/4. V exposed,,,,1,1,59,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW35,,,N0,,,,,,N5,,,,,,,EN1/EW1(1)/NP/CO,,,EN4/NP/CO,,,FP/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,37,,,,#REF!,,,,,2.4,2,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW37,,,N2,,,,,,N5,,,,,,,EN2/EW2.4(2)/NP/CO,,,EN5/W/NP,,,EN8/NP/LW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,42,1,BLUTI,,#REF!,,,,,4.6,4,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW42,,,N4,,,,,,N5,,,,,,,EN4/EW4.6(4)/NP/CO,,,EN?/FP/BLUTI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,45,,,,#REF!,V.exposed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,158,DW45,,,N0,,,,,,N2,,,,,,,N3,,,N4,,,N3,,,,,N3,,,N4,,,,,,,,N3,,,,,,,,,,,,,N3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,46,1,GRETI,,#REF!,,83,90,0,,,,,6,,,,103,1,0,111,118,5,4,114,115,,,,PF91079,,0700EDC14E,,,GU4,,117,111,5,1,4,1,F,1,PF91077,158,DW46,,,N0,,,,,,N0,,,,,,,N0,,,,,,N0,,,,,N0,,,N0,,,,,,,,,,,,,,,,,,,,,EN6/FP/GRETI,gave small pot,EN6/NP/WA/MWY,EN6/WA/NP/MWY,EN?/FP/MWY,EN?/FP/MWY,EN?/YN0/FP/MWY,EN?/FP,EN5+/FP,YN2+/EN?/FP/control,YN6?/EN0?/FP/control,YN6/EN0/NP/CONTROL,control,control,control,YN6/CONTROL,YN6/CONTROL,control/FS2 of 5,CONTROL,CONTROL,YN4/DY1/CONTROL,control/FS-male/VC1102,YN4/control,YN4/CONTROL/retrieved VC1102(SDK3),control+FS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,47,,,,#REF!,Inaccessible,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DW47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DW,49,1,GRETI,,#REF!,,72,76,1,3.7,2,73,0,5,1,79,91,92,1,2,100,107,3,3,103,,103,,,,,,,PF91073,,0700EE4000,106,100,3,2,3,,,,,,DW49,,,NC,,,,,,N2,,,,,,,N5,,,,,,N5,,,,,N5,,,EN2/EW3.7(2)/NP/CO,,EN4/NP/CO,EN5/NP/CO,,EN5/CO/NP,EN5/NP/WA,,EN5/WA,,,,,gave small pot,,MWY,MISSED,MWY,EN6?/FP/GRETI/MWY,YN2/EN3/FL/probiotic,YN3/EN2/NP/PROBIOTIC,YN3/EN2/PROBIOTIC,probiotic,probiotic,,,probiotic,FS,probiotic,probiotic,probiotic+FS-Fe+VC1134,probiotic,probiotic,probiotic+retrieved VC1134,FS+probiotic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
