feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
RUMP.PWY	Treatment	L. kimchicus	0.905988817283685	0.589662430383532	201	199	0.13714927499209	0.275550345071418
SER.GLYSYN.PWY	Age.category	D15	-0.3709705226116	0.247184242269848	201	201	0.135170318567865	0.275550345071418
DHGLUCONATE.PYR.CAT.PWY	Treatment	L. kimchicus	0.90455674960123	0.590494316363143	201	92	0.139159061119378	0.277222443036502
PWY.5509	Treatment	L. kimchicus	1.15536149249915	0.757863345792836	201	194	0.139075951348175	0.277222443036502
PWY.6353	Treatment	L. kimchicus	0.964671514493493	0.633177572541662	201	198	0.139421813456954	0.277222443036502
PWY.6969	Treatment	L. kimchicus	0.807507360372939	0.528731234089531	201	201	0.139029156753617	0.277222443036502
PWY.7371	Treatment	L. kimchicus	1.13925812233728	0.747004484471607	201	177	0.138578052528112	0.277222443036502
PWY0.1586	Age.category	D15	0.183142836974033	0.123362117498114	201	201	0.139404757085603	0.277222443036502
PWY.5863	Treatment	L. kimchicus	0.930251117221914	0.610826269716773	201	200	0.140011464646137	0.277569434214449
PWY.7221	Age.category	D15	0.0832341018772552	0.0561568222878731	201	201	0.14006009880161	0.277569434214449
PWY.6269	Treatment	L. kimchicus	1.16312720831256	0.765674220758202	201	193	0.140414959600242	0.277812738250397
PWY.5101	Age.category	Adult	0.551033249589129	0.37248742296906	201	201	0.140830946318021	0.278175978123219
DTDPRHAMSYN.PWY	Age.category	D15	-0.381072532167638	0.258061251638458	201	201	0.141513038423548	0.27862931856568
PWY.1861	Treatment	L. kimchicus	0.888297163297186	0.58494129983639	201	199	0.14152600308098	0.27862931856568
GALLATE.DEGRADATION.II.PWY	Treatment	L. kimchicus	1.12489209925696	0.741546771215797	201	149	0.142342831074797	0.279777288664255
GLUTORN.PWY	Treatment	L. kimchicus	0.847422834677088	0.560194468188845	201	201	0.14259238058673	0.279808327151338
PWY.5022	Age.category	Adult	0.684997566768554	0.465747757840664	201	189	0.143143076916741	0.280429235792698
GLUTORN.PWY	Age.category	Adult	0.579883959418997	0.39459637237598	201	201	0.14345944677832	0.280589800316419
PWY.1861	Age.category	D15	0.50761012238929	0.345735232573938	201	199	0.143794917541918	0.280787139147922
PWY.7221	Treatment	L. kimchicus	-0.172300230228363	0.11439423658106	201	201	0.144189372877459	0.281098826277391
FUCCAT.PWY	Age.category	D15	-0.786748600155728	0.537588045334686	201	151	0.14506542433658	0.281888495017673
PWY.5104	Age.category	Adult	0.520287900906169	0.355341054210596	201	201	0.144897366871359	0.281888495017673
PWY.5837	Treatment	L. kimchicus	0.930012339692761	0.620157491638643	201	200	0.145938038708759	0.282209745289798
PWY.7007	Age.category	D15	-0.509033760263782	0.348277635461354	201	200	0.145603916376622	0.282209745289798
TRPSYN.PWY	Age.category	D15	-0.411641437866911	0.281732198387381	201	201	0.145743316093572	0.282209745289798
ALL.CHORISMATE.PWY	Age.category	D15	-0.665402535776047	0.456255474836763	201	167	0.146479333026639	0.282344221631059
HISTSYN.PWY	Treatment	L. kimchicus	0.845218228310313	0.564034378817646	201	201	0.146254104251215	0.282344221631059
PANTO.PWY	Treatment	L. kimchicus	0.698669563729901	0.467108139609953	201	201	0.147103808930909	0.283092056736813
ARGSYNBSUB.PWY	Treatment	L. kimchicus	0.591273625221438	0.396123802876824	201	201	0.147628819514909	0.283646383562352
P105.PWY	Age.category	D15	-0.389077478145041	0.267700126524585	201	200	0.147870541729869	0.283655510337586
PWY.5705	Treatment	L. kimchicus	0.805066404724765	0.541346161053646	201	199	0.148578900884851	0.283842536887388
PYRIDNUCSYN.PWY	Treatment	L. kimchicus	0.759271227059998	0.509906384738166	201	201	0.148566210276058	0.283842536887388
TRPSYN.PWY	Treatment	L. kimchicus	0.832618983601223	0.559237931259032	201	201	0.14867942408387	0.283842536887388
PWY0.1277	Age.category	Adult	-1.17488052251045	0.811026421211095	201	165	0.14917700278355	0.284338968681384
PWY0.1415	Age.category	D15	-0.482163480402191	0.33468130578281	201	200	0.151428811672711	0.28817215830244
ARGSYN.PWY	Treatment	L. kimchicus	0.534971695499191	0.36402502613561	201	201	0.153728088037908	0.28825165843373
HSERMETANA.PWY	Age.category	D15	-0.409719362239074	0.284985572173555	201	201	0.152263357870064	0.28825165843373
PROTOCATECHUATE.ORTHO.CLEAVAGE.PWY	Age.category	D15	-0.540144074743012	0.375637467431327	201	197	0.152188928168497	0.28825165843373
PWY.5154	Treatment	L. kimchicus	0.773929166541737	0.526159843756226	201	199	0.153189237901164	0.28825165843373
PWY.5659	Age.category	D15	-0.355099428576828	0.24777775868575	201	201	0.153565123931431	0.28825165843373
PWY.6901	Age.category	Adult	0.616461016785823	0.429719759197588	201	198	0.153176509056164	0.28825165843373
PWY.7094	Age.category	D15	-0.470989330476155	0.327921396267024	201	199	0.152666188965252	0.28825165843373
PWY.7220	Treatment	L. kimchicus	-0.206926401363366	0.140862654807688	201	201	0.153878704878156	0.28825165843373
PWY.7222	Treatment	L. kimchicus	-0.206926401363366	0.140862654807688	201	201	0.153878704878156	0.28825165843373
PWY.7400	Treatment	L. kimchicus	0.542148295168832	0.367717051593931	201	201	0.152457942322725	0.28825165843373
ILEUSYN.PWY	Age.category	Adult	0.520126417545144	0.364707528203263	201	201	0.155587253808545	0.290542812494272
VALSYN.PWY	Age.category	Adult	0.520126417545144	0.364707528203263	201	201	0.155587253808545	0.290542812494272
ARGORNPROST.PWY	Age.category	D15	0.391377523753873	0.27493140550216	201	201	0.156290197370367	0.291400882012973
FAO.PWY	Age.category	D15	-0.448614495759862	0.315466052237965	201	201	0.156751202706251	0.2914749564943
HCAMHPDEG.PWY	Age.category	D15	-0.768746646071661	0.541156741806519	201	163	0.157144935056025	0.2914749564943
PWY.5415	Age.category	D15	-0.560960710403943	0.395006342133078	201	197	0.157303944774702	0.2914749564943
PWY.6690	Age.category	D15	-0.768746646071661	0.541156741806519	201	163	0.157144935056025	0.2914749564943
P161.PWY	Age.category	D15	0.247332221981769	0.17464634081462	201	201	0.158435126448177	0.292561611435261
PWY.5180	Age.category	Adult	0.753361853953188	0.532429518087121	201	197	0.158836877519748	0.292561611435261
PWY.5182	Age.category	Adult	0.753361853953188	0.532429518087121	201	197	0.158836877519748	0.292561611435261
PWY.7211	Treatment	L. kimchicus	0.645542392471357	0.445290245724572	201	201	0.158868042968187	0.292561611435261
GLUCONEO.PWY	Treatment	L. kimchicus	0.415095951949403	0.287055512044462	201	201	0.160539498832025	0.294484342265696
GLYCOCAT.PWY	Treatment	L. kimchicus	0.788602272528881	0.546615723553539	201	201	0.161142225717653	0.294484342265696
HEMESYN2.PWY	Treatment	L. kimchicus	0.758386253952642	0.525082655582282	201	201	0.160905158767452	0.294484342265696
OANTIGEN.PWY	Treatment	L. kimchicus	0.528212195601886	0.365608313100191	201	201	0.160280276097278	0.294484342265696
PWY.6107	Age.category	D15	-0.809071821665692	0.574664519766001	201	161	0.160842911546226	0.294484342265696
P562.PWY	Treatment	L. kimchicus	1.17223585150394	0.813847589619201	201	196	0.161915581376839	0.295446571506213
PANTO.PWY	Age.category	D15	-0.351229892341024	0.250571016229183	201	201	0.162729895513947	0.296480494566506
P381.PWY	Age.category	D15	-0.568666215434277	0.406207726367899	201	152	0.163250899343659	0.296527050856389
TCA.GLYOX.BYPASS	Age.category	D15	-0.399706576792805	0.285445947731381	201	200	0.163167694766447	0.296527050856389
HEMESYN2.PWY	Age.category	D15	-0.379212891847742	0.271351586526733	201	201	0.163997565858947	0.297112685629435
PWY.5121	Treatment	L. kimchicus	0.673617066848594	0.470135492100689	201	201	0.164069745364291	0.297112685629435
PWY.7046	Age.category	D15	-0.626933559130377	0.449356493829478	201	74	0.164679249422771	0.297765954016702
PWY0.166	Age.category	D15	0.241941205525473	0.173735016012911	201	201	0.165416784027621	0.298648401932221
