feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
PWY.6151	Age.category	Adult	-0.623307279879881	0.229185115418372	201	201	0.00718127264494516	0.127724274710683
PWY.6471	Age.category	D15	0.477619465744488	0.175855717782489	201	201	0.00725584852157597	0.127724274710683
AEROBACTINSYN.PWY	Age.category	D15	-1.4283127717768	0.527922265195342	201	85	0.00746956647402665	0.127729586705856
PWY.7003	Age.category	Adult	1.70418630639902	0.629140814445129	201	174	0.00740865134275862	0.127729586705856
THREOCAT.PWY	Age.category	D15	-1.52849116160576	0.567205227537377	201	80	0.00767717674339636	0.129430712138668
GOLPDLCAT.PWY	Treatment	L. kimchicus	2.02571042183657	0.709608180203993	201	172	0.00840700842651365	0.130859756423515
NONMEVIPP.PWY	Age.category	Adult	0.949872014157079	0.354150741475054	201	201	0.00801192633132396	0.130859756423515
POLYISOPRENSYN.PWY	Age.category	Adult	-0.283516079978407	0.1064259725038	201	201	0.0084392605735471	0.130859756423515
PWY.7560	Age.category	Adult	0.949872014157079	0.354150741475054	201	201	0.00801192633132396	0.130859756423515
PWY4FS.7	Age.category	Adult	-0.233053658183426	0.0876040352232507	201	201	0.00852720217296088	0.130859756423515
PWY4FS.8	Age.category	Adult	-0.233053658183426	0.0876040352232507	201	201	0.00852720217296088	0.130859756423515
RIBOSYN2.PWY	Age.category	Adult	0.921429566399576	0.346366013149631	201	201	0.0085253664759968	0.130859756423515
ARGDEG.PWY	Age.category	D15	-1.67870970868664	0.636712916349717	201	138	0.00909629104901046	0.132783663239823
ORNARGDEG.PWY	Age.category	D15	-1.67870970868664	0.636712916349717	201	138	0.00909629104901046	0.132783663239823
PWY.2941	Age.category	D15	0.548166320439977	0.207047931663471	201	201	0.00883869116536854	0.132783663239823
PWY.7377	Treatment	L. kimchicus	2.17247964234973	0.768433229394916	201	158	0.00904707841434486	0.132783663239823
GALACTUROCAT.PWY	Age.category	Adult	1.56940726814955	0.59960772502269	201	192	0.00962860998911971	0.137207692344956
PWY.181	Age.category	Adult	1.35366840833765	0.516641141700246	201	178	0.0095546464704266	0.137207692344956
PWY.7347	Treatment	L. kimchicus	1.97403516709616	0.706113312333725	201	117	0.00982001970286456	0.138288983345046
PWY.6174	Age.category	Adult	-1.10091268532074	0.423187710922094	201	46	0.0100481848435755	0.139856712299533
NAD.BIOSYNTHESIS.II	Age.category	Adult	2.02578707402277	0.781980940040177	201	170	0.0103676078227172	0.142254116257216
P161.PWY	Age.category	Adult	-0.62831680345016	0.242815948369348	201	201	0.0104581138100543	0.142254116257216
SALVADEHYPOX.PWY	Age.category	Adult	1.2631848191784	0.489435765458537	201	198	0.0106621338889673	0.143399710843751
PWY.7221	Age.category	Adult	-0.200786044054192	0.0779531987003905	201	201	0.010822315422147	0.143936795114556
P381.PWY	Treatment	L. kimchicus	1.83299079852116	0.666895197758982	201	152	0.0111697580636931	0.144832987037512
PWY.6641	Age.category	Adult	-1.56869727797239	0.612216779912351	201	79	0.0112394077172497	0.144832987037512
PWY.7237	Age.category	D15	-1.04657347224952	0.408596737732425	201	196	0.0112526882159471	0.144832987037512
PWY.5188	Age.category	Adult	0.984152645285147	0.385271288893976	201	201	0.0114811210527691	0.146201084044305
PHOSLIPSYN.PWY	Age.category	Adult	-0.215239479958712	0.0844686947770648	201	201	0.0116832119185604	0.146218430502149
SUCSYN.PWY	Treatment	L. kimchicus	1.81914315778836	0.668960626542298	201	117	0.0117267914187187	0.146218430502149
KDO.NAGLIPASYN.PWY	Age.category	Adult	1.83475901104459	0.722638582337226	201	151	0.0119653511213042	0.146245087637472
PWY0.321	Age.category	D15	-1.28804139455884	0.507443290319435	201	179	0.0119732820287989	0.146245087637472
PWY0.1415	Age.category	Adult	1.17745235941836	0.464714998915331	201	200	0.0121553237363572	0.146968914266864
ARGDEG.PWY	Age.category	Adult	2.20419499069165	0.886546119016367	201	138	0.013823378768384	0.149551796539703
BIOTIN.BIOSYNTHESIS.PWY	Age.category	D15	-0.974349742391218	0.39174825433784	201	189	0.0137893477968812	0.149551796539703
GLYCOL.GLYOXDEG.PWY	Age.category	Adult	1.92334690185988	0.765411032319925	201	139	0.0128680155976129	0.149551796539703
ORNARGDEG.PWY	Age.category	Adult	2.20419499069165	0.886546119016367	201	138	0.013823378768384	0.149551796539703
ORNDEG.PWY	Age.category	D15	-1.33044606342587	0.529176902288113	201	131	0.0127891646769543	0.149551796539703
PWY.2221	Treatment	L. kimchicus	1.37383867027422	0.512013764396687	201	66	0.0126639317918205	0.149551796539703
PWY.5189	Age.category	Adult	0.954436314543562	0.384001790485597	201	201	0.0138682117091955	0.149551796539703
PWY.621	Age.category	D15	0.489504850554419	0.196777476956263	201	201	0.0137650247871957	0.149551796539703
PWY.6608	Age.category	Adult	1.20361053135127	0.48414746137611	201	198	0.0138430660264388	0.149551796539703
PWY.6891	Age.category	Adult	1.3252362255961	0.531362181789522	201	194	0.0135442392145855	0.149551796539703
PWY.7328	Age.category	Adult	1.2938910651036	0.520190173155724	201	195	0.0137929851765585	0.149551796539703
THISYN.PWY	Age.category	Adult	1.2806779232369	0.513802018509528	201	194	0.0136137753567643	0.149551796539703
HEMESYN2.PWY	Age.category	Adult	0.934805479002389	0.376808933482642	201	201	0.0140432941151454	0.150087705855616
PWY.6519	Age.category	D15	-0.995269257530024	0.401919196345421	201	189	0.0142015866293048	0.150436276064406
PWY.5345	Age.category	Adult	0.97370449059295	0.394860931040344	201	201	0.014620078970116	0.151670933442333
